name,id
DMS San Juan Sacatepequez,20311016
DMS San Juan Tecuaco,209607106
DMS San Lorenzo,2151007218
DMS San Lucas Toliman,210713176
DMS San Luis,2661709333
DMS San Marcos ,2151201231
DMS San Mateo,212910198
DMS San Mateo Ixtatan,2161318275
DMS San Matin Sacatepequez,212912200
DMS San Miguel Acatan,2161313270
DMS San Miguel Ixtahuacan,2151205234
DMS San Miguel Petapa,20411726
DMS San Miguel Pochuta,207408144
DMS San Pablo ,2151219248
DMS San Pablo La Laguna,210715177
DMS San Pedro Ayampuc,2021077
DMS San Pedro Jocopilas,2171409302
DMS San Pedro La Laguna,210718178
DMS San Pedro Necta,2161306265
DMS San Pedro Sacatepequez ,21510927
DMS San Pedro Yepocapa,207412148
DMS San Rafael ,27810139
DMS San Rafael La Independencia,2161314271
DMS San Rafael Las Flores,209605104
DMS San Rafael Petzal,2161328286
DMS San Rafael Pie De La Cuesta ,2151211240
DMS San Rafel Pie De La Cuesta ,2151227256
DMS San Raymundo,20311117
DMS San Sebastian,2141102222
DMS San Sebastian Coatan,2161325283
DMS San Sebastian Huehuetenango,2161320277
DMS San Tiago Atitlan,210719179
DMS San Vicente Buenabaj,211805185
DMS Santa Ana,2661707330
DMS Santa Ana Huista,2161331289
DMS Santa Apolonia,207405140
DMS Santa Barbara,2131015215
DMS Santa Catarina Ixtahuacán,7b5b3d69-4995-49f9-ab75-3df46733fc5c
DMS Santa Catarina Pinula,2021021
DMS Santa Cruz,2171401294
DMS Santa Cruz ,220160243
DMS Santa Cruz Mulua,2141103223
DMS Santa Cruz Naranjo,209612111
DMS Santa Elena Iii,27810133
DMS Santa Eulalia,2161317274
"DMS Santa Lucia Cotz,",208502154
DMS Santa Lucia La Reforma,211807187
DMS Santa Lucia Utatlan,210704171
DMS Santa Maria Ixhuatan,209610109
DMS Santa Rosa De Lima,209603102
DMS Santiago,206306134
DMS Santiago Chimaltenango,2161330288
DMS Santiago Petatan,2161333291
DMS Santo Domingo ,2131006212
DMS Santo Tomas De Castilla / Puerto Barrios,222180171
DMS Santo Tomas La Union,2131008213
DMS Santo Tomas La Union ,2131017216
DMS Satna Cruz Balanya,207410146
DMS Sayaxche,2651710326
DMS Senahu,220160850
DMS Sibilia,212905193
DMS Sibinal,2151208237
DMS Sipacapa,2151226255
DMS Sipacate,208507159
DMS Siquinala,208504156
DMS Solola,210701170
DMS Soloma,2161308267
DMS Sta Catarina Mita,2262203117
